"BehaviorSpace results (NetLogo 6.2.0)"
"data_sharing.nlogo"
"03-baseline-end"
"12/12/2021 10:23:40:182 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","grants-per-funder","reuse-data?","n-funders","history-length","n-groups","importance-of-chance","share-data?","[step]","stuff","publications-gini","sum [total-primary-publications] of groups"
"5","8","false","2","3","100","0.48","false","500","[[96 0 272 0 20] [32 0 408 0 43] [40 0 1474 0 217] [83 0 1036 0 145] [58 0 1450 0 218] [74 0 310 0 30] [13 0 265 0 25] [60 0 305 0 27] [36 0 227 0 14] [1 0 3210 0 501] [50 0 2554 0 386] [75 0 223 0 11] [27 0 1929 0 298] [91 0 481 0 58] [10 0 449 0 52] [35 0 1402 0 215] [61 0 155 0 6] [66 0 580 0 73] [70 0 167 0 3] [64 0 1996 0 308] [34 0 310 0 24] [98 0 791 0 109] [76 0 190 0 10] [30 0 400 0 44] [52 0 177 0 8] [54 0 161 0 7] [47 0 1083 0 162] [97 0 217 0 12] [43 0 213 0 15] [21 0 2571 0 406] [86 0 184 0 7] [29 0 231 0 15] [89 0 201 0 9] [62 0 206 0 8] [84 0 247 0 15] [42 0 235 0 16] [46 0 484 0 53] [87 0 319 0 33] [78 0 293 0 23] [4 0 227 0 10] [31 0 232 0 12] [45 0 2116 0 324] [39 0 555 0 67] [95 0 263 0 17] [19 0 443 0 46] [56 0 204 0 11] [73 0 180 0 9] [16 0 195 0 9] [22 0 255 0 18] [11 0 292 0 25] [37 0 2397 0 373] [55 0 1052 0 156] [77 0 260 0 17] [57 0 1610 0 235] [63 0 241 0 17] [24 0 164 0 6] [49 0 483 0 57] [18 0 1016 0 144] [88 0 641 0 84] [20 0 259 0 23] [9 0 480 0 55] [69 0 222 0 11] [44 0 174 0 8] [2 0 408 0 42] [85 0 252 0 20] [3 0 746 0 104] [8 0 226 0 12] [15 0 249 0 15] [81 0 318 0 27] [17 0 182 0 4] [5 0 3356 0 535] [90 0 364 0 40] [80 0 396 0 35] [26 0 126 0 1] [48 0 263 0 21] [72 0 229 0 16] [92 0 931 0 129] [33 0 301 0 24] [38 0 666 0 91] [28 0 489 0 64] [79 0 188 0 5] [23 0 651 0 83] [65 0 2132 0 334] [6 0 209 0 10] [71 0 232 0 15] [93 0 260 0 24] [94 0 389 0 37] [41 0 368 0 39] [53 0 272 0 20] [7 0 209 0 12] [82 0 3885 0 626] [12 0 208 0 6] [68 0 227 0 13] [51 0 276 0 26] [14 0 641 0 85] [0 0 532 0 57] [67 0 182 0 11] [59 0 181 0 7] [99 0 256 0 18] [25 0 338 0 32]]","0.5126932245420366","62505"
"8","8","false","2","3","100","0.42","false","500","[[91 0 178 0 6] [77 0 173 0 6] [2 0 208 0 6] [80 0 162 0 6] [23 0 205 0 10] [85 0 198 0 7] [12 0 228 0 13] [84 0 492 0 52] [69 0 190 0 8] [46 0 160 0 3] [48 0 159 0 6] [96 0 163 0 3] [90 0 246 0 15] [15 0 196 0 7] [59 0 221 0 11] [19 0 187 0 4] [66 0 170 0 3] [30 0 171 0 0] [50 0 172 0 7] [95 0 208 0 9] [51 0 139 0 3] [39 0 210 0 11] [68 0 160 0 0] [13 0 229 0 13] [38 0 2836 0 448] [75 0 238 0 16] [24 0 240 0 14] [65 0 236 0 13] [32 0 232 0 14] [14 0 163 0 4] [74 0 277 0 24] [7 0 177 0 4] [47 0 5516 0 895] [0 0 164 0 1] [18 0 148 0 3] [72 0 165 0 4] [92 0 161 0 2] [60 0 177 0 6] [6 0 245 0 14] [21 0 171 0 2] [97 0 251 0 18] [94 0 189 0 3] [35 0 163 0 2] [9 0 191 0 5] [8 0 191 0 9] [43 0 142 0 1] [83 0 178 0 7] [40 0 242 0 11] [54 0 162 0 3] [42 0 205 0 10] [62 0 174 0 5] [11 0 159 0 2] [28 0 5386 0 902] [27 0 221 0 13] [37 0 196 0 5] [99 0 5209 0 862] [67 0 171 0 3] [5 0 5919 0 971] [22 0 140 0 3] [4 0 158 0 4] [36 0 144 0 1] [17 0 135 0 1] [1 0 180 0 5] [16 0 154 0 1] [86 0 154 0 2] [98 0 235 0 10] [81 0 158 0 4] [25 0 177 0 6] [64 0 168 0 3] [33 0 196 0 5] [87 0 5917 0 967] [3 0 159 0 2] [76 0 188 0 3] [55 0 180 0 5] [89 0 259 0 14] [71 0 5892 0 953] [70 0 144 0 2] [31 0 162 0 4] [49 0 143 0 2] [41 0 158 0 2] [93 0 270 0 19] [79 0 383 0 39] [61 0 168 0 5] [53 0 170 0 2] [58 0 168 0 3] [44 0 203 0 8] [73 0 183 0 6] [63 0 193 0 6] [10 0 177 0 2] [88 0 176 0 2] [29 0 5579 0 912] [20 0 2681 0 429] [34 0 143 0 4] [26 0 207 0 7] [52 0 334 0 27] [82 0 197 0 3] [45 0 167 0 3] [78 0 179 0 4] [57 0 145 0 2] [56 0 248 0 13]]","0.668572937335979","62492"
"3","8","false","2","3","100","0.44","false","500","[[22 0 198 0 7] [58 0 163 0 5] [60 0 169 0 4] [63 0 2730 0 438] [92 0 261 0 19] [13 0 188 0 11] [39 0 251 0 17] [33 0 3631 0 589] [44 0 3996 0 656] [24 0 179 0 8] [76 0 158 0 5] [57 0 170 0 3] [0 0 391 0 39] [35 0 386 0 35] [38 0 175 0 3] [43 0 394 0 44] [79 0 219 0 15] [47 0 203 0 7] [67 0 4228 0 677] [7 0 140 0 0] [70 0 201 0 11] [98 0 1524 0 232] [91 0 296 0 26] [28 0 295 0 26] [21 0 228 0 14] [32 0 260 0 18] [89 0 193 0 10] [86 0 187 0 6] [65 0 215 0 8] [61 0 201 0 8] [23 0 186 0 8] [12 0 253 0 18] [54 0 387 0 37] [99 0 221 0 10] [10 0 602 0 79] [49 0 226 0 10] [96 0 200 0 8] [56 0 211 0 10] [64 0 284 0 19] [5 0 164 0 3] [6 0 172 0 2] [9 0 198 0 9] [45 0 1638 0 242] [1 0 167 0 7] [62 0 256 0 17] [15 0 190 0 5] [71 0 295 0 19] [42 0 222 0 10] [41 0 218 0 6] [88 0 206 0 9] [82 0 176 0 5] [95 0 212 0 14] [83 0 435 0 50] [26 0 269 0 25] [19 0 150 0 2] [68 0 246 0 15] [50 0 270 0 26] [73 0 500 0 56] [36 0 210 0 7] [40 0 183 0 4] [69 0 192 0 8] [27 0 193 0 6] [8 0 266 0 18] [78 0 289 0 23] [75 0 223 0 11] [25 0 159 0 5] [97 0 238 0 18] [20 0 164 0 3] [85 0 415 0 44] [3 0 299 0 28] [11 0 189 0 5] [17 0 172 0 4] [29 0 267 0 16] [72 0 3569 0 573] [46 0 154 0 5] [4 0 242 0 15] [59 0 249 0 17] [16 0 198 0 10] [90 0 158 0 4] [93 0 5704 0 916] [55 0 241 0 11] [18 0 5720 0 915] [53 0 175 0 8] [81 0 212 0 9] [51 0 387 0 37] [87 0 4872 0 792] [66 0 246 0 14] [34 0 1527 0 229] [52 0 240 0 15] [48 0 243 0 12] [14 0 203 0 7] [37 0 550 0 69] [2 0 218 0 12] [84 0 157 0 4] [77 0 305 0 26] [74 0 168 0 5] [80 0 2583 0 389] [31 0 176 0 5] [30 0 204 0 11] [94 0 283 0 28]]","0.6154371528164643","62827"
"6","8","false","2","3","100","0.5","false","500","[[52 0 809 0 108] [98 0 356 0 35] [1 0 262 0 16] [40 0 260 0 17] [12 0 335 0 28] [51 0 698 0 97] [84 0 278 0 18] [33 0 466 0 52] [36 0 372 0 37] [20 0 3325 0 538] [81 0 216 0 12] [32 0 235 0 16] [50 0 410 0 46] [7 0 225 0 14] [28 0 312 0 28] [27 0 1586 0 231] [11 0 330 0 30] [35 0 213 0 10] [67 0 1318 0 197] [70 0 351 0 35] [66 0 490 0 53] [49 0 299 0 30] [95 0 369 0 41] [80 0 1054 0 151] [22 0 939 0 132] [46 0 363 0 35] [23 0 532 0 62] [89 0 1171 0 178] [21 0 1431 0 219] [38 0 228 0 16] [26 0 820 0 108] [45 0 224 0 14] [30 0 368 0 39] [44 0 329 0 25] [74 0 528 0 63] [77 0 224 0 18] [37 0 258 0 16] [63 0 758 0 98] [93 0 298 0 25] [43 0 340 0 31] [14 0 428 0 44] [48 0 388 0 41] [34 0 383 0 42] [88 0 451 0 55] [8 0 219 0 13] [39 0 223 0 12] [82 0 305 0 28] [99 0 283 0 25] [76 0 236 0 22] [92 0 503 0 60] [87 0 1703 0 260] [29 0 2274 0 363] [25 0 934 0 136] [6 0 430 0 45] [86 0 524 0 65] [56 0 292 0 23] [59 0 263 0 19] [13 0 376 0 38] [78 0 2239 0 352] [19 0 255 0 16] [24 0 1968 0 298] [15 0 979 0 142] [68 0 326 0 31] [96 0 866 0 118] [61 0 382 0 41] [85 0 860 0 116] [94 0 543 0 66] [72 0 469 0 55] [73 0 2045 0 309] [4 0 177 0 7] [69 0 208 0 10] [2 0 543 0 70] [97 0 436 0 49] [58 0 277 0 19] [10 0 502 0 61] [41 0 324 0 28] [83 0 526 0 60] [62 0 1581 0 238] [90 0 2021 0 303] [79 0 166 0 5] [47 0 300 0 27] [65 0 1015 0 150] [71 0 273 0 20] [64 0 279 0 20] [53 0 342 0 31] [9 0 404 0 43] [42 0 470 0 54] [55 0 338 0 32] [57 0 197 0 14] [16 0 191 0 10] [54 0 401 0 45] [91 0 244 0 17] [0 0 2016 0 314] [5 0 256 0 17] [60 0 311 0 29] [75 0 288 0 27] [17 0 549 0 65] [18 0 469 0 51] [3 0 2458 0 377] [31 0 454 0 53]]","0.4289549589882162","62543"
"2","8","false","2","3","100","0.42","false","500","[[63 0 172 0 4] [38 0 174 0 5] [65 0 146 0 0] [87 0 203 0 7] [32 0 145 0 0] [56 0 259 0 18] [50 0 165 0 0] [82 0 157 0 3] [93 0 159 0 2] [75 0 164 0 7] [17 0 1494 0 228] [43 0 161 0 1] [71 0 185 0 5] [67 0 154 0 3] [47 0 165 0 3] [92 0 223 0 10] [45 0 2560 0 391] [98 0 5717 0 933] [7 0 207 0 9] [18 0 5610 0 921] [29 0 177 0 3] [52 0 179 0 4] [51 0 212 0 11] [53 0 170 0 2] [79 0 177 0 7] [20 0 158 0 2] [86 0 192 0 5] [34 0 233 0 13] [49 0 152 0 1] [33 0 289 0 25] [55 0 150 0 2] [8 0 270 0 17] [24 0 140 0 1] [70 0 267 0 19] [27 0 5881 0 973] [19 0 209 0 8] [10 0 138 0 0] [72 0 221 0 9] [58 0 181 0 3] [37 0 188 0 10] [68 0 182 0 3] [80 0 367 0 42] [60 0 162 0 4] [64 0 144 0 3] [39 0 149 0 2] [48 0 243 0 17] [42 0 185 0 8] [62 0 177 0 2] [0 0 208 0 11] [59 0 159 0 3] [11 0 197 0 11] [36 0 202 0 8] [30 0 144 0 2] [6 0 154 0 1] [94 0 3087 0 505] [77 0 3924 0 614] [26 0 171 0 3] [96 0 174 0 3] [2 0 151 0 1] [16 0 182 0 4] [66 0 149 0 1] [9 0 157 0 2] [57 0 192 0 7] [61 0 358 0 33] [41 0 216 0 10] [15 0 177 0 3] [12 0 163 0 3] [28 0 158 0 3] [25 0 130 0 2] [14 0 5635 0 916] [54 0 166 0 3] [13 0 182 0 4] [21 0 2535 0 393] [85 0 169 0 2] [4 0 140 0 0] [73 0 5563 0 919] [1 0 152 0 3] [5 0 159 0 2] [91 0 3564 0 581] [78 0 240 0 14] [81 0 174 0 1] [84 0 185 0 4] [35 0 211 0 8] [22 0 169 0 5] [99 0 184 0 9] [31 0 157 0 1] [69 0 212 0 8] [40 0 200 0 5] [23 0 753 0 99] [89 0 164 0 0] [90 0 199 0 6] [44 0 187 0 4] [83 0 177 0 5] [76 0 193 0 5] [46 0 179 0 1] [74 0 184 0 3] [88 0 213 0 7] [95 0 170 0 2] [97 0 166 0 4] [3 0 221 0 10]]","0.6663755604844499","62669"
"7","8","false","2","3","100","0.4","false","500","[[17 0 145 0 2] [37 0 181 0 4] [78 0 155 0 0] [70 0 137 0 0] [42 0 150 0 1] [2 0 167 0 3] [43 0 5949 0 982] [39 0 155 0 0] [30 0 163 0 0] [40 0 172 0 3] [44 0 149 0 0] [8 0 135 0 1] [91 0 168 0 4] [65 0 125 0 0] [0 0 151 0 1] [64 0 145 0 1] [11 0 140 0 1] [36 0 165 0 3] [59 0 148 0 1] [63 0 6071 0 974] [52 0 156 0 2] [79 0 156 0 1] [51 0 178 0 3] [53 0 174 0 3] [4 0 143 0 1] [5 0 155 0 1] [20 0 147 0 0] [73 0 6042 0 985] [89 0 158 0 1] [85 0 147 0 0] [22 0 145 0 2] [61 0 167 0 1] [76 0 146 0 1] [75 0 166 0 2] [66 0 158 0 1] [90 0 5800 0 971] [93 0 128 0 1] [99 0 168 0 3] [67 0 4790 0 771] [38 0 181 0 2] [18 0 154 0 2] [56 0 161 0 2] [57 0 157 0 1] [10 0 162 0 2] [72 0 148 0 1] [92 0 154 0 2] [86 0 164 0 2] [14 0 188 0 4] [19 0 158 0 1] [62 0 155 0 1] [68 0 139 0 0] [48 0 148 0 0] [47 0 157 0 1] [69 0 137 0 1] [28 0 189 0 5] [46 0 172 0 1] [16 0 161 0 1] [50 0 145 0 0] [3 0 5923 0 981] [1 0 151 0 0] [23 0 174 0 6] [9 0 164 0 0] [55 0 144 0 0] [32 0 157 0 1] [25 0 165 0 2] [26 0 166 0 1] [87 0 152 0 0] [74 0 377 0 44] [6 0 5973 0 994] [35 0 154 0 1] [54 0 153 0 1] [7 0 154 0 2] [98 0 174 0 1] [80 0 158 0 0] [58 0 146 0 1] [41 0 154 0 1] [13 0 187 0 3] [77 0 166 0 3] [27 0 141 0 2] [21 0 221 0 10] [12 0 129 0 0] [60 0 162 0 1] [15 0 145 0 1] [33 0 157 0 2] [84 0 138 0 0] [24 0 1314 0 192] [97 0 143 0 0] [95 0 163 0 3] [94 0 171 0 5] [45 0 155 0 1] [34 0 142 0 0] [29 0 133 0 0] [82 0 171 0 5] [96 0 163 0 1] [83 0 145 0 1] [49 0 154 0 0] [31 0 175 0 4] [81 0 143 0 1] [88 0 6005 0 969] [71 0 143 0 0]]","0.6992080859939034","62330"
"4","8","false","2","3","100","0.46","false","500","[[14 0 419 0 44] [52 0 240 0 15] [94 0 169 0 4] [62 0 303 0 23] [35 0 475 0 56] [23 0 352 0 31] [37 0 1883 0 297] [91 0 197 0 6] [67 0 3214 0 523] [85 0 246 0 19] [18 0 190 0 8] [75 0 827 0 119] [32 0 542 0 59] [57 0 441 0 52] [84 0 164 0 3] [9 0 202 0 8] [47 0 1637 0 238] [82 0 189 0 12] [95 0 389 0 41] [45 0 303 0 25] [29 0 883 0 126] [92 0 1483 0 229] [55 0 503 0 54] [27 0 472 0 55] [68 0 175 0 6] [59 0 384 0 39] [61 0 297 0 22] [98 0 208 0 15] [72 0 190 0 10] [8 0 273 0 20] [24 0 209 0 11] [74 0 253 0 19] [1 0 195 0 12] [30 0 499 0 58] [7 0 830 0 113] [25 0 1064 0 148] [70 0 360 0 35] [99 0 172 0 2] [6 0 2765 0 449] [34 0 316 0 26] [2 0 138 0 3] [49 0 2723 0 422] [0 0 622 0 81] [28 0 248 0 16] [12 0 175 0 4] [79 0 204 0 8] [4 0 501 0 63] [15 0 208 0 12] [11 0 272 0 22] [36 0 198 0 10] [13 0 258 0 16] [43 0 256 0 19] [60 0 270 0 20] [51 0 276 0 24] [31 0 3928 0 625] [90 0 566 0 66] [89 0 155 0 4] [54 0 174 0 9] [26 0 344 0 30] [80 0 296 0 26] [76 0 263 0 21] [66 0 609 0 70] [93 0 424 0 47] [48 0 2317 0 365] [21 0 1542 0 226] [96 0 365 0 31] [22 0 203 0 9] [17 0 190 0 7] [78 0 206 0 6] [42 0 240 0 14] [64 0 908 0 131] [97 0 272 0 24] [5 0 213 0 9] [19 0 168 0 7] [83 0 231 0 17] [87 0 273 0 23] [3 0 392 0 43] [10 0 202 0 7] [44 0 159 0 2] [39 0 189 0 7] [77 0 195 0 11] [20 0 136 0 1] [40 0 189 0 7] [41 0 244 0 16] [16 0 3438 0 537] [71 0 212 0 14] [38 0 1777 0 279] [73 0 200 0 7] [65 0 1582 0 246] [58 0 638 0 78] [56 0 155 0 5] [63 0 153 0 5] [46 0 277 0 21] [88 0 240 0 18] [50 0 2634 0 415] [86 0 252 0 15] [53 0 171 0 6] [33 0 289 0 19] [69 0 271 0 17] [81 0 4377 0 705]]","0.5478797524031925","62521"
"1","8","false","2","3","100","0.4","false","500","[[37 0 137 0 1] [45 0 169 0 2] [4 0 154 0 0] [87 0 155 0 1] [92 0 134 0 1] [30 0 152 0 0] [98 0 158 0 2] [88 0 162 0 0] [81 0 172 0 3] [43 0 153 0 0] [50 0 6147 0 992] [1 0 165 0 3] [15 0 162 0 0] [79 0 178 0 5] [32 0 5896 0 942] [42 0 134 0 0] [58 0 137 0 0] [82 0 161 0 1] [17 0 6088 0 986] [9 0 155 0 0] [72 0 5667 0 930] [0 0 150 0 1] [34 0 149 0 0] [54 0 149 0 2] [53 0 166 0 5] [68 0 148 0 1] [48 0 5157 0 849] [10 0 158 0 3] [36 0 152 0 3] [6 0 185 0 4] [86 0 140 0 1] [5 0 137 0 0] [7 0 360 0 36] [8 0 143 0 0] [66 0 168 0 3] [29 0 160 0 2] [51 0 166 0 1] [63 0 178 0 2] [84 0 161 0 2] [56 0 157 0 0] [57 0 144 0 0] [76 0 224 0 15] [35 0 154 0 3] [20 0 155 0 2] [71 0 173 0 6] [27 0 151 0 1] [55 0 146 0 1] [19 0 175 0 3] [85 0 196 0 3] [96 0 168 0 1] [49 0 164 0 0] [89 0 181 0 2] [83 0 164 0 1] [2 0 170 0 0] [78 0 146 0 1] [94 0 185 0 0] [67 0 157 0 1] [47 0 179 0 2] [80 0 161 0 3] [38 0 161 0 0] [41 0 135 0 1] [91 0 178 0 4] [31 0 166 0 0] [26 0 170 0 1] [97 0 185 0 3] [59 0 152 0 0] [33 0 150 0 2] [22 0 141 0 0] [60 0 158 0 0] [14 0 5759 0 969] [77 0 1097 0 171] [21 0 132 0 0] [18 0 171 0 0] [99 0 5864 0 974] [25 0 157 0 0] [75 0 167 0 0] [13 0 167 0 6] [73 0 168 0 2] [39 0 165 0 1] [40 0 163 0 4] [74 0 161 0 1] [16 0 138 0 0] [11 0 175 0 1] [70 0 160 0 0] [24 0 188 0 7] [65 0 6001 0 976] [44 0 142 0 1] [64 0 152 0 2] [93 0 139 0 1] [12 0 144 0 2] [69 0 157 0 0] [52 0 166 0 3] [3 0 168 0 0] [62 0 218 0 9] [23 0 308 0 22] [28 0 180 0 2] [90 0 162 0 0] [95 0 166 0 1] [46 0 163 0 3] [61 0 141 0 2]]","0.6948301621759673","62648"
"9","8","false","2","3","100","0.44","false","500","[[43 0 194 0 5] [31 0 150 0 2] [91 0 200 0 7] [88 0 251 0 15] [47 0 165 0 4] [27 0 188 0 7] [15 0 225 0 12] [46 0 213 0 10] [48 0 149 0 4] [66 0 218 0 8] [83 0 171 0 3] [7 0 192 0 10] [78 0 187 0 6] [11 0 173 0 4] [40 0 5865 0 933] [12 0 199 0 14] [0 0 210 0 4] [96 0 355 0 29] [70 0 315 0 28] [90 0 203 0 11] [14 0 160 0 2] [98 0 5652 0 924] [77 0 182 0 4] [72 0 213 0 10] [79 0 273 0 18] [8 0 5617 0 922] [89 0 130 0 1] [67 0 188 0 7] [19 0 221 0 12] [57 0 1172 0 191] [87 0 186 0 5] [73 0 178 0 3] [82 0 393 0 38] [4 0 175 0 4] [1 0 228 0 11] [49 0 319 0 29] [69 0 180 0 2] [32 0 179 0 4] [29 0 5830 0 935] [44 0 323 0 30] [18 0 4046 0 628] [85 0 170 0 6] [81 0 180 0 6] [99 0 164 0 3] [21 0 245 0 15] [60 0 188 0 3] [74 0 4375 0 714] [71 0 157 0 6] [26 0 270 0 20] [22 0 191 0 11] [5 0 219 0 13] [51 0 190 0 7] [2 0 213 0 10] [97 0 174 0 4] [75 0 196 0 10] [80 0 172 0 3] [68 0 166 0 2] [94 0 173 0 5] [33 0 237 0 14] [36 0 159 0 1] [64 0 2604 0 406] [50 0 189 0 3] [58 0 176 0 6] [16 0 170 0 4] [39 0 209 0 10] [45 0 153 0 0] [42 0 179 0 3] [93 0 217 0 16] [24 0 327 0 33] [37 0 149 0 2] [59 0 184 0 5] [6 0 170 0 5] [65 0 247 0 14] [28 0 167 0 5] [61 0 188 0 4] [92 0 229 0 12] [56 0 182 0 6] [76 0 167 0 5] [63 0 184 0 10] [84 0 161 0 4] [52 0 239 0 14] [34 0 230 0 15] [13 0 274 0 17] [25 0 236 0 14] [55 0 188 0 7] [9 0 2699 0 436] [62 0 1607 0 243] [86 0 186 0 4] [38 0 353 0 41] [17 0 312 0 25] [23 0 232 0 11] [30 0 147 0 2] [41 0 221 0 14] [53 0 1726 0 264] [54 0 3355 0 533] [35 0 303 0 24] [3 0 262 0 16] [20 0 147 0 3] [95 0 187 0 8] [10 0 180 0 7]]","0.6443974667027355","62843"
"10","8","false","2","3","100","0.46","false","500","[[18 0 386 0 38] [77 0 285 0 25] [16 0 165 0 5] [85 0 236 0 14] [75 0 204 0 9] [45 0 271 0 23] [29 0 314 0 28] [33 0 160 0 4] [81 0 174 0 4] [61 0 250 0 21] [51 0 175 0 8] [28 0 292 0 20] [4 0 181 0 7] [49 0 2338 0 360] [32 0 221 0 12] [57 0 995 0 143] [36 0 226 0 7] [71 0 159 0 2] [40 0 355 0 28] [79 0 180 0 10] [89 0 274 0 24] [64 0 327 0 29] [0 0 4724 0 762] [84 0 175 0 6] [43 0 213 0 10] [83 0 189 0 11] [86 0 167 0 5] [92 0 229 0 12] [96 0 222 0 14] [82 0 225 0 11] [98 0 163 0 3] [95 0 214 0 12] [7 0 163 0 5] [66 0 173 0 7] [17 0 171 0 4] [65 0 1010 0 137] [5 0 1051 0 157] [87 0 4272 0 678] [73 0 438 0 52] [34 0 179 0 5] [35 0 188 0 11] [52 0 159 0 6] [38 0 218 0 10] [39 0 204 0 8] [99 0 1499 0 224] [2 0 216 0 14] [12 0 186 0 6] [88 0 185 0 5] [37 0 172 0 4] [15 0 231 0 13] [91 0 223 0 14] [24 0 768 0 98] [53 0 3518 0 561] [27 0 180 0 7] [80 0 181 0 7] [60 0 330 0 32] [42 0 251 0 19] [48 0 240 0 14] [9 0 219 0 13] [59 0 187 0 14] [20 0 1109 0 166] [8 0 264 0 21] [3 0 191 0 8] [93 0 935 0 131] [55 0 215 0 10] [14 0 201 0 12] [74 0 300 0 25] [90 0 182 0 6] [6 0 204 0 13] [44 0 191 0 7] [47 0 1453 0 228] [26 0 1536 0 231] [13 0 249 0 19] [21 0 288 0 23] [68 0 234 0 10] [62 0 520 0 61] [56 0 3814 0 596] [25 0 286 0 20] [54 0 205 0 9] [78 0 948 0 133] [70 0 191 0 6] [11 0 1437 0 212] [50 0 997 0 141] [19 0 278 0 21] [1 0 263 0 19] [10 0 163 0 5] [94 0 230 0 9] [63 0 585 0 67] [67 0 170 0 7] [69 0 1359 0 203] [30 0 1122 0 162] [46 0 227 0 19] [23 0 1315 0 193] [76 0 213 0 12] [72 0 175 0 9] [58 0 232 0 16] [22 0 5388 0 855] [31 0 293 0 21] [97 0 2675 0 433] [41 0 572 0 69]]","0.5779207794485816","62711"
