"BehaviorSpace results (NetLogo 6.2.0)"
"data_sharing.nlogo"
"baseline-end"
"12/08/2021 14:13:38:170 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","grants-per-funder","reuse-data?","n-funders","history-length","n-groups","importance-of-chance","share-data?","[step]","stuff","publications-gini","sum [total-primary-publications] of groups"
"3","8","false","2","3","100","0.44","false","500","[[31 0 297 0 24] [51 0 211 0 12] [81 0 197 0 9] [18 0 216 0 14] [47 0 149 0 1] [98 0 259 0 16] [66 0 238 0 14] [97 0 213 0 9] [42 0 186 0 5] [16 0 199 0 9] [96 0 1465 0 216] [11 0 164 0 3] [28 0 313 0 28] [1 0 224 0 14] [92 0 253 0 14] [72 0 197 0 8] [88 0 129 0 3] [7 0 173 0 6] [32 0 5850 0 940] [69 0 399 0 42] [90 0 370 0 35] [62 0 487 0 57] [89 0 5883 0 945] [39 0 373 0 33] [61 0 250 0 11] [94 0 1594 0 239] [57 0 146 0 6] [9 0 197 0 7] [75 0 5342 0 857] [41 0 182 0 6] [37 0 241 0 14] [38 0 198 0 10] [12 0 2369 0 378] [14 0 187 0 8] [22 0 195 0 8] [49 0 5510 0 883] [53 0 269 0 20] [67 0 216 0 7] [93 0 191 0 5] [58 0 5168 0 857] [99 0 198 0 10] [3 0 243 0 13] [52 0 275 0 22] [10 0 205 0 10] [73 0 188 0 6] [34 0 190 0 8] [46 0 194 0 8] [23 0 255 0 12] [15 0 360 0 33] [76 0 771 0 99] [19 0 2684 0 431] [20 0 347 0 31] [85 0 406 0 35] [71 0 235 0 12] [29 0 158 0 4] [54 0 263 0 18] [82 0 170 0 4] [6 0 274 0 30] [26 0 191 0 6] [24 0 353 0 27] [56 0 186 0 3] [91 0 267 0 20] [35 0 197 0 5] [0 0 486 0 48] [74 0 422 0 48] [95 0 258 0 16] [43 0 338 0 34] [86 0 294 0 21] [60 0 200 0 9] [21 0 207 0 10] [36 0 612 0 78] [4 0 246 0 13] [48 0 293 0 25] [8 0 248 0 16] [77 0 327 0 27] [64 0 297 0 21] [55 0 215 0 10] [30 0 349 0 38] [44 0 4146 0 663] [78 0 262 0 18] [25 0 194 0 6] [63 0 153 0 2] [65 0 302 0 25] [83 0 191 0 6] [33 0 151 0 4] [40 0 185 0 4] [79 0 217 0 13] [50 0 164 0 1] [80 0 272 0 19] [27 0 188 0 3] [68 0 149 0 4] [5 0 243 0 12] [70 0 215 0 11] [13 0 809 0 112] [45 0 172 0 5] [84 0 211 0 15] [17 0 204 0 8] [2 0 266 0 17] [87 0 168 0 5] [59 0 208 0 13]]","0.6163084911036535","63172"
"2","8","false","2","3","100","0.42","false","500","[[77 0 152 0 1] [76 0 5338 0 880] [4 0 216 0 11] [78 0 180 0 7] [47 0 152 0 2] [68 0 198 0 4] [37 0 214 0 4] [56 0 216 0 10] [3 0 5793 0 951] [65 0 272 0 19] [17 0 200 0 11] [90 0 148 0 1] [20 0 151 0 5] [6 0 170 0 1] [33 0 170 0 1] [54 0 252 0 11] [44 0 153 0 2] [8 0 5817 0 941] [53 0 308 0 24] [60 0 144 0 1] [5 0 146 0 0] [35 0 141 0 1] [75 0 198 0 5] [59 0 158 0 3] [22 0 356 0 36] [2 0 168 0 4] [74 0 150 0 0] [63 0 162 0 3] [83 0 190 0 4] [9 0 132 0 2] [48 0 162 0 0] [12 0 163 0 2] [84 0 5897 0 958] [55 0 198 0 7] [11 0 187 0 5] [25 0 144 0 2] [26 0 151 0 0] [39 0 182 0 3] [88 0 156 0 0] [94 0 171 0 3] [69 0 180 0 4] [28 0 170 0 4] [85 0 178 0 4] [24 0 180 0 5] [21 0 148 0 1] [98 0 5175 0 852] [40 0 143 0 4] [42 0 185 0 4] [29 0 162 0 4] [30 0 195 0 3] [95 0 156 0 1] [34 0 636 0 78] [15 0 158 0 1] [49 0 153 0 2] [27 0 188 0 4] [66 0 150 0 2] [96 0 171 0 5] [1 0 162 0 3] [99 0 182 0 4] [62 0 888 0 133] [87 0 5845 0 941] [16 0 238 0 10] [80 0 153 0 2] [19 0 147 0 2] [86 0 5196 0 857] [52 0 136 0 1] [82 0 147 0 1] [18 0 166 0 2] [61 0 220 0 10] [72 0 141 0 1] [64 0 151 0 1] [36 0 205 0 5] [41 0 189 0 5] [93 0 208 0 6] [50 0 162 0 2] [45 0 199 0 7] [13 0 5245 0 857] [91 0 169 0 5] [57 0 153 0 4] [31 0 171 0 4] [89 0 184 0 8] [23 0 200 0 11] [73 0 218 0 11] [7 0 235 0 15] [32 0 155 0 3] [43 0 204 0 11] [70 0 167 0 6] [92 0 158 0 2] [0 0 142 0 2] [79 0 192 0 10] [14 0 155 0 4] [67 0 722 0 93] [46 0 173 0 7] [58 0 195 0 9] [51 0 148 0 2] [38 0 168 0 6] [71 0 192 0 9] [10 0 169 0 5] [81 0 182 0 6] [97 0 251 0 14]]","0.678466870507628","62467"
"7","8","false","2","3","100","0.4","false","500","[[27 0 216 0 7] [35 0 166 0 1] [84 0 152 0 0] [25 0 161 0 0] [16 0 165 0 1] [45 0 143 0 1] [4 0 161 0 0] [77 0 173 0 2] [33 0 173 0 0] [82 0 151 0 3] [46 0 155 0 1] [75 0 145 0 2] [92 0 136 0 0] [76 0 198 0 5] [86 0 161 0 1] [83 0 186 0 1] [67 0 6197 0 978] [62 0 144 0 1] [31 0 148 0 2] [74 0 144 0 0] [57 0 166 0 3] [34 0 5158 0 839] [11 0 142 0 2] [29 0 154 0 0] [48 0 5920 0 984] [63 0 177 0 2] [39 0 6010 0 985] [23 0 149 0 1] [91 0 152 0 0] [65 0 157 0 0] [94 0 151 0 0] [87 0 146 0 1] [37 0 157 0 1] [1 0 160 0 2] [52 0 147 0 0] [40 0 149 0 0] [95 0 6237 0 989] [15 0 922 0 133] [10 0 169 0 5] [58 0 207 0 6] [72 0 5912 0 953] [9 0 175 0 3] [43 0 169 0 3] [55 0 135 0 0] [69 0 160 0 1] [0 0 186 0 4] [26 0 179 0 5] [17 0 146 0 1] [12 0 152 0 0] [32 0 152 0 1] [88 0 138 0 1] [21 0 234 0 11] [89 0 165 0 1] [85 0 181 0 6] [36 0 181 0 5] [5 0 141 0 0] [42 0 147 0 0] [93 0 132 0 1] [3 0 186 0 5] [22 0 179 0 2] [81 0 159 0 2] [96 0 158 0 2] [41 0 159 0 0] [56 0 195 0 3] [7 0 163 0 1] [38 0 200 0 10] [64 0 191 0 3] [13 0 142 0 0] [6 0 158 0 3] [14 0 161 0 2] [53 0 124 0 0] [70 0 5675 0 958] [66 0 145 0 1] [18 0 145 0 0] [51 0 204 0 4] [47 0 154 0 2] [90 0 146 0 1] [20 0 169 0 1] [8 0 157 0 3] [49 0 247 0 18] [78 0 131 0 0] [99 0 161 0 2] [59 0 319 0 27] [60 0 176 0 2] [68 0 169 0 4] [71 0 164 0 2] [80 0 144 0 2] [30 0 143 0 0] [79 0 151 0 1] [97 0 5822 0 957] [24 0 174 0 0] [61 0 118 0 0] [73 0 157 0 1] [98 0 146 0 0] [28 0 174 0 3] [50 0 144 0 1] [2 0 168 0 1] [19 0 228 0 16] [44 0 138 0 0] [54 0 163 0 5]]","0.6979045177317388","62797"
"5","8","false","2","3","100","0.48","false","500","[[22 0 2177 0 337] [35 0 383 0 34] [17 0 202 0 8] [87 0 181 0 7] [40 0 469 0 48] [34 0 331 0 28] [93 0 346 0 29] [20 0 172 0 7] [42 0 1815 0 280] [86 0 1688 0 256] [65 0 304 0 28] [69 0 2992 0 488] [53 0 205 0 9] [80 0 526 0 62] [88 0 331 0 29] [51 0 4763 0 758] [85 0 610 0 73] [16 0 300 0 25] [71 0 230 0 12] [29 0 369 0 39] [67 0 542 0 63] [1 0 580 0 69] [44 0 1047 0 150] [19 0 208 0 14] [66 0 423 0 48] [58 0 325 0 29] [11 0 324 0 27] [50 0 809 0 111] [5 0 171 0 3] [74 0 243 0 18] [75 0 214 0 9] [56 0 239 0 13] [60 0 546 0 72] [52 0 293 0 22] [99 0 529 0 64] [10 0 205 0 8] [76 0 472 0 49] [39 0 236 0 16] [94 0 179 0 6] [63 0 218 0 10] [18 0 1628 0 253] [83 0 299 0 23] [91 0 394 0 42] [49 0 244 0 18] [82 0 328 0 27] [6 0 395 0 48] [12 0 216 0 9] [61 0 259 0 20] [31 0 201 0 9] [28 0 410 0 43] [37 0 257 0 19] [73 0 201 0 9] [38 0 396 0 37] [25 0 257 0 15] [92 0 177 0 5] [30 0 287 0 25] [3 0 809 0 102] [45 0 366 0 35] [15 0 204 0 11] [14 0 308 0 26] [24 0 326 0 28] [97 0 356 0 34] [32 0 258 0 17] [90 0 200 0 8] [4 0 603 0 77] [9 0 227 0 13] [21 0 1622 0 240] [81 0 1460 0 227] [2 0 225 0 11] [89 0 327 0 35] [0 0 1479 0 229] [8 0 852 0 115] [70 0 2678 0 419] [55 0 279 0 21] [26 0 497 0 52] [27 0 399 0 40] [46 0 575 0 71] [79 0 163 0 4] [57 0 289 0 24] [54 0 1365 0 206] [84 0 253 0 18] [98 0 777 0 105] [95 0 235 0 19] [47 0 189 0 10] [33 0 278 0 19] [7 0 311 0 28] [13 0 267 0 22] [96 0 495 0 56] [77 0 3216 0 508] [68 0 3738 0 586] [78 0 583 0 70] [59 0 330 0 30] [72 0 476 0 51] [62 0 248 0 18] [64 0 171 0 4] [23 0 1767 0 269] [41 0 672 0 87] [48 0 384 0 39] [43 0 413 0 45] [36 0 213 0 11]]","0.4965741166764505","63029"
"8","8","false","2","3","100","0.42","false","500","[[63 0 242 0 19] [26 0 187 0 7] [65 0 260 0 16] [23 0 170 0 4] [83 0 5126 0 828] [89 0 227 0 13] [74 0 157 0 3] [78 0 212 0 10] [90 0 162 0 4] [36 0 174 0 6] [57 0 184 0 6] [38 0 1771 0 274] [60 0 195 0 9] [39 0 194 0 6] [79 0 196 0 6] [16 0 3566 0 579] [94 0 192 0 8] [76 0 5094 0 853] [46 0 195 0 3] [37 0 159 0 0] [20 0 167 0 3] [1 0 188 0 7] [22 0 303 0 21] [30 0 217 0 9] [93 0 230 0 7] [97 0 165 0 3] [0 0 5639 0 917] [50 0 169 0 3] [35 0 131 0 2] [81 0 281 0 19] [7 0 144 0 0] [91 0 1922 0 293] [31 0 173 0 6] [33 0 162 0 3] [92 0 162 0 2] [59 0 264 0 18] [28 0 172 0 3] [86 0 247 0 18] [84 0 5872 0 939] [70 0 178 0 4] [96 0 197 0 5] [14 0 340 0 32] [82 0 5781 0 934] [49 0 184 0 6] [17 0 182 0 6] [32 0 142 0 1] [98 0 245 0 10] [62 0 203 0 9] [72 0 195 0 11] [9 0 210 0 9] [42 0 192 0 8] [5 0 160 0 1] [48 0 242 0 14] [44 0 155 0 4] [12 0 159 0 3] [34 0 221 0 14] [2 0 228 0 14] [4 0 279 0 27] [41 0 232 0 14] [11 0 178 0 7] [71 0 239 0 10] [47 0 5444 0 896] [19 0 192 0 6] [6 0 187 0 14] [40 0 147 0 2] [85 0 203 0 4] [53 0 209 0 6] [88 0 350 0 33] [87 0 254 0 14] [69 0 144 0 0] [51 0 157 0 4] [45 0 214 0 11] [21 0 135 0 3] [73 0 195 0 8] [13 0 3880 0 639] [54 0 181 0 7] [58 0 438 0 48] [15 0 181 0 9] [75 0 257 0 13] [99 0 170 0 3] [77 0 156 0 2] [55 0 420 0 41] [3 0 271 0 19] [24 0 238 0 12] [27 0 255 0 21] [67 0 210 0 8] [52 0 177 0 3] [80 0 190 0 5] [43 0 213 0 9] [8 0 189 0 4] [10 0 227 0 15] [18 0 170 0 2] [68 0 196 0 9] [56 0 190 0 4] [66 0 244 0 17] [95 0 194 0 6] [61 0 201 0 8] [29 0 227 0 9] [64 0 216 0 10] [25 0 190 0 6]]","0.6502216022319649","62725"
"6","8","false","2","3","100","0.5","false","500","[[51 0 623 0 81] [8 0 1401 0 211] [42 0 5061 0 806] [79 0 769 0 104] [13 0 1374 0 202] [62 0 380 0 39] [11 0 720 0 104] [77 0 343 0 29] [15 0 1382 0 205] [98 0 268 0 19] [63 0 247 0 17] [4 0 368 0 35] [78 0 343 0 29] [69 0 560 0 65] [67 0 470 0 54] [31 0 203 0 12] [89 0 260 0 18] [44 0 302 0 22] [58 0 556 0 69] [72 0 252 0 21] [92 0 365 0 40] [48 0 1559 0 232] [6 0 294 0 22] [40 0 521 0 56] [59 0 623 0 81] [60 0 451 0 52] [97 0 799 0 112] [53 0 927 0 125] [57 0 2173 0 333] [50 0 276 0 22] [88 0 322 0 26] [74 0 604 0 72] [12 0 656 0 93] [39 0 210 0 13] [37 0 814 0 112] [81 0 260 0 18] [56 0 206 0 10] [95 0 1514 0 234] [20 0 442 0 45] [29 0 895 0 123] [46 0 296 0 22] [30 0 290 0 22] [43 0 800 0 111] [7 0 207 0 12] [49 0 215 0 14] [73 0 385 0 40] [61 0 246 0 19] [52 0 250 0 19] [47 0 962 0 130] [14 0 2395 0 367] [10 0 593 0 70] [9 0 178 0 9] [21 0 1633 0 249] [96 0 516 0 74] [94 0 947 0 124] [86 0 360 0 38] [87 0 1374 0 207] [0 0 447 0 53] [32 0 293 0 25] [66 0 429 0 43] [5 0 1062 0 150] [54 0 301 0 28] [18 0 204 0 11] [80 0 252 0 20] [1 0 306 0 22] [38 0 291 0 18] [83 0 288 0 27] [82 0 439 0 53] [85 0 248 0 19] [41 0 434 0 44] [3 0 248 0 15] [2 0 426 0 47] [65 0 235 0 18] [35 0 558 0 66] [99 0 247 0 20] [84 0 1296 0 193] [68 0 355 0 32] [75 0 426 0 50] [17 0 237 0 20] [34 0 379 0 39] [26 0 840 0 112] [70 0 951 0 129] [55 0 524 0 61] [25 0 510 0 62] [24 0 2636 0 395] [76 0 301 0 25] [71 0 271 0 19] [36 0 265 0 19] [28 0 594 0 79] [19 0 761 0 104] [16 0 558 0 69] [33 0 831 0 116] [27 0 182 0 7] [91 0 605 0 77] [64 0 286 0 20] [23 0 483 0 51] [45 0 213 0 14] [22 0 651 0 80] [93 0 390 0 34] [90 0 295 0 24]]","0.4166263415253699","62988"
"4","8","false","2","3","100","0.46","false","500","[[52 0 277 0 20] [24 0 258 0 18] [92 0 4330 0 691] [3 0 287 0 26] [94 0 891 0 122] [47 0 263 0 21] [51 0 175 0 5] [11 0 189 0 8] [32 0 169 0 4] [59 0 183 0 7] [74 0 443 0 51] [58 0 297 0 20] [54 0 196 0 9] [75 0 516 0 55] [18 0 175 0 5] [49 0 198 0 8] [10 0 165 0 6] [23 0 344 0 34] [44 0 3188 0 506] [71 0 298 0 25] [81 0 427 0 43] [36 0 258 0 17] [7 0 128 0 1] [40 0 219 0 14] [28 0 217 0 10] [70 0 1690 0 256] [25 0 1637 0 250] [83 0 287 0 24] [39 0 161 0 5] [31 0 257 0 21] [1 0 228 0 9] [0 0 1813 0 287] [35 0 239 0 11] [89 0 174 0 3] [80 0 145 0 1] [8 0 257 0 15] [14 0 230 0 13] [88 0 200 0 4] [22 0 5862 0 954] [86 0 219 0 11] [84 0 2594 0 409] [15 0 770 0 102] [68 0 285 0 22] [65 0 509 0 53] [79 0 226 0 11] [98 0 292 0 20] [85 0 194 0 7] [50 0 628 0 82] [46 0 256 0 20] [76 0 520 0 62] [60 0 789 0 110] [73 0 244 0 14] [21 0 2630 0 422] [93 0 179 0 5] [16 0 385 0 37] [20 0 169 0 4] [97 0 159 0 4] [56 0 300 0 29] [5 0 279 0 20] [13 0 252 0 19] [30 0 252 0 19] [96 0 504 0 61] [62 0 203 0 8] [77 0 234 0 18] [63 0 556 0 64] [37 0 137 0 2] [90 0 280 0 21] [57 0 219 0 11] [99 0 225 0 14] [82 0 249 0 18] [72 0 240 0 12] [9 0 331 0 29] [42 0 207 0 11] [91 0 215 0 16] [66 0 246 0 19] [69 0 216 0 10] [6 0 151 0 3] [67 0 164 0 4] [95 0 3118 0 492] [26 0 280 0 20] [33 0 175 0 5] [43 0 1695 0 264] [45 0 400 0 40] [34 0 765 0 102] [41 0 372 0 39] [61 0 303 0 19] [53 0 226 0 13] [38 0 259 0 21] [55 0 317 0 26] [27 0 200 0 11] [4 0 3864 0 624] [87 0 162 0 4] [2 0 204 0 12] [19 0 142 0 1] [12 0 1177 0 176] [64 0 2542 0 393] [29 0 186 0 5] [17 0 347 0 30] [48 0 1893 0 290] [78 0 352 0 31]]","0.5716883903247395","62758"
"1","8","false","2","3","100","0.4","false","500","[[63 0 204 0 13] [33 0 155 0 1] [34 0 147 0 2] [94 0 6022 0 981] [69 0 171 0 1] [82 0 172 0 2] [22 0 184 0 1] [39 0 171 0 4] [60 0 165 0 1] [5 0 159 0 1] [36 0 124 0 1] [79 0 5860 0 964] [74 0 144 0 0] [52 0 201 0 8] [24 0 148 0 0] [2 0 5953 0 981] [50 0 151 0 0] [58 0 5839 0 973] [96 0 208 0 9] [91 0 158 0 3] [61 0 155 0 0] [37 0 166 0 2] [3 0 144 0 0] [68 0 167 0 1] [46 0 182 0 2] [51 0 187 0 6] [8 0 157 0 0] [25 0 186 0 5] [75 0 135 0 1] [41 0 171 0 3] [28 0 161 0 2] [26 0 158 0 1] [89 0 148 0 1] [20 0 199 0 6] [16 0 173 0 3] [38 0 153 0 1] [23 0 180 0 7] [0 0 156 0 1] [14 0 167 0 4] [35 0 155 0 0] [84 0 144 0 0] [43 0 174 0 4] [15 0 152 0 3] [48 0 142 0 0] [13 0 156 0 3] [88 0 170 0 0] [64 0 194 0 8] [78 0 150 0 1] [31 0 163 0 0] [9 0 146 0 0] [97 0 170 0 3] [90 0 159 0 1] [57 0 146 0 2] [27 0 178 0 4] [92 0 135 0 1] [93 0 5935 0 969] [47 0 192 0 4] [17 0 168 0 5] [76 0 150 0 0] [67 0 194 0 3] [70 0 182 0 5] [32 0 5899 0 969] [12 0 246 0 17] [65 0 147 0 2] [10 0 5984 0 960] [53 0 179 0 4] [56 0 169 0 3] [45 0 176 0 2] [11 0 146 0 2] [42 0 163 0 2] [98 0 180 0 2] [71 0 183 0 2] [77 0 240 0 14] [62 0 431 0 50] [99 0 194 0 6] [4 0 159 0 1] [49 0 5305 0 864] [19 0 159 0 2] [40 0 144 0 0] [73 0 191 0 4] [59 0 152 0 1] [86 0 177 0 5] [18 0 152 0 0] [1 0 215 0 8] [7 0 144 0 0] [44 0 189 0 12] [83 0 131 0 0] [66 0 209 0 9] [87 0 150 0 2] [81 0 172 0 2] [55 0 169 0 4] [85 0 155 0 0] [72 0 149 0 0] [21 0 165 0 2] [95 0 256 0 15] [29 0 171 0 1] [54 0 198 0 12] [80 0 146 0 1] [6 0 188 0 5] [30 0 195 0 7]]","0.6892573545852365","62614"
"10","8","false","2","3","100","0.46","false","500","[[16 0 224 0 14] [49 0 465 0 50] [86 0 236 0 12] [70 0 355 0 34] [99 0 180 0 5] [92 0 246 0 12] [93 0 1625 0 230] [19 0 648 0 86] [55 0 153 0 3] [42 0 289 0 23] [53 0 306 0 27] [5 0 1599 0 241] [33 0 199 0 11] [30 0 4620 0 718] [23 0 153 0 4] [51 0 324 0 28] [69 0 359 0 37] [37 0 174 0 5] [14 0 195 0 10] [74 0 242 0 16] [38 0 260 0 18] [58 0 219 0 10] [95 0 244 0 15] [7 0 318 0 31] [85 0 4763 0 750] [40 0 400 0 40] [32 0 327 0 32] [77 0 4570 0 724] [79 0 176 0 5] [13 0 235 0 10] [8 0 191 0 7] [6 0 181 0 8] [41 0 445 0 47] [59 0 487 0 54] [22 0 940 0 129] [3 0 356 0 39] [39 0 436 0 49] [54 0 1517 0 227] [34 0 250 0 20] [24 0 320 0 26] [21 0 178 0 7] [80 0 211 0 7] [2 0 164 0 3] [45 0 240 0 17] [73 0 312 0 24] [20 0 721 0 97] [29 0 175 0 4] [18 0 279 0 18] [43 0 184 0 4] [65 0 443 0 49] [98 0 2134 0 328] [75 0 186 0 7] [78 0 2099 0 323] [17 0 164 0 6] [60 0 543 0 63] [76 0 524 0 63] [27 0 278 0 18] [15 0 524 0 56] [91 0 313 0 23] [71 0 269 0 18] [26 0 174 0 4] [44 0 176 0 8] [84 0 193 0 5] [47 0 3429 0 539] [56 0 175 0 6] [63 0 269 0 18] [94 0 165 0 5] [64 0 560 0 67] [1 0 245 0 10] [83 0 281 0 19] [82 0 224 0 12] [68 0 161 0 3] [67 0 333 0 32] [88 0 366 0 36] [4 0 229 0 16] [90 0 209 0 13] [61 0 482 0 59] [28 0 191 0 10] [25 0 217 0 14] [96 0 3026 0 482] [57 0 1304 0 197] [66 0 1259 0 180] [31 0 152 0 2] [36 0 218 0 13] [46 0 215 0 9] [12 0 178 0 3] [52 0 2122 0 321] [87 0 351 0 33] [11 0 214 0 12] [0 0 323 0 29] [9 0 203 0 11] [48 0 391 0 42] [62 0 188 0 8] [72 0 226 0 15] [50 0 201 0 12] [35 0 272 0 24] [89 0 229 0 16] [10 0 277 0 21] [97 0 182 0 5] [81 0 4757 0 747]]","0.5729608876996931","63535"
"9","8","false","2","3","100","0.44","false","500","[[42 0 168 0 5] [15 0 167 0 2] [22 0 183 0 7] [6 0 220 0 11] [30 0 186 0 10] [10 0 174 0 5] [21 0 229 0 15] [0 0 141 0 0] [54 0 164 0 6] [45 0 412 0 46] [2 0 203 0 6] [65 0 3150 0 486] [5 0 392 0 47] [92 0 187 0 8] [55 0 177 0 6] [46 0 232 0 15] [80 0 146 0 1] [58 0 1712 0 260] [12 0 178 0 5] [78 0 213 0 16] [63 0 183 0 7] [8 0 201 0 9] [79 0 380 0 38] [71 0 265 0 16] [17 0 175 0 3] [76 0 191 0 9] [35 0 193 0 10] [84 0 305 0 25] [33 0 275 0 21] [39 0 529 0 61] [32 0 377 0 39] [53 0 155 0 3] [7 0 182 0 5] [87 0 147 0 1] [29 0 168 0 3] [26 0 242 0 15] [43 0 5385 0 871] [44 0 377 0 32] [85 0 223 0 14] [68 0 415 0 42] [36 0 209 0 7] [25 0 293 0 23] [28 0 196 0 6] [64 0 206 0 9] [16 0 160 0 4] [14 0 359 0 36] [3 0 209 0 10] [67 0 164 0 4] [59 0 2502 0 393] [96 0 2180 0 339] [90 0 165 0 4] [81 0 233 0 12] [49 0 316 0 26] [9 0 5205 0 849] [93 0 189 0 10] [99 0 2368 0 372] [82 0 263 0 15] [61 0 161 0 4] [62 0 249 0 16] [20 0 158 0 4] [56 0 3371 0 554] [48 0 313 0 28] [50 0 163 0 4] [34 0 166 0 4] [69 0 225 0 13] [95 0 191 0 7] [94 0 3666 0 581] [73 0 163 0 4] [57 0 168 0 3] [40 0 158 0 4] [38 0 298 0 25] [74 0 206 0 11] [24 0 1589 0 254] [4 0 241 0 9] [75 0 188 0 6] [88 0 223 0 12] [77 0 239 0 15] [23 0 176 0 10] [52 0 159 0 2] [91 0 227 0 14] [1 0 176 0 2] [89 0 298 0 23] [19 0 214 0 12] [72 0 244 0 13] [83 0 1575 0 251] [60 0 317 0 26] [86 0 242 0 14] [13 0 190 0 9] [51 0 5531 0 908] [41 0 189 0 6] [66 0 206 0 7] [70 0 263 0 21] [31 0 578 0 71] [98 0 182 0 4] [11 0 908 0 128] [47 0 160 0 5] [27 0 3490 0 558] [18 0 372 0 42] [97 0 212 0 10] [37 0 196 0 6]]","0.6169625360230547","62460"
